Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons
Great Company!!!,"Sep 13, 2021 ",5.0,Former, Manager,,Recommend,Business Outlook,Share,"Good Pay, great experience, excellent internal support",Lots of hours and weekends
Amazing company,"Sep 13, 2021 ",5.0,Current, Business Analyst,,Recommend,Business Outlook,Share,Good work culture and travel perks,Not any as of now
Consultant,"Sep 13, 2021 ",5.0,Current, Associate,,Recommend,Business Outlook,Share,Great culture! Great learning experience,Nothing really. High expectations to deliver on
Don’t Join PCS Tax Irvine,"Aug 5, 2021 ",1.0,Former, Senior Tax Associate,,Recommend,Business Outlook,Share,* Looks good on resume to have Big 4 experience * Almost any job after this will feel better,"* Long hours. If you work quickly and are a top performer, you get rewarded with more work. It seems that you have to be an average/poor performer to last longer or be a workaholic * Poor exit opportunities. If you want to exit to work for a client, it’s unlikely or you don’t have great options since PCS clients often don’t have tax departments * Not much training. You get thrown into the fire and have to figure it out yourself. You also get thrown under the bus by upper management if something goes wrong * Colleagues are not as talented/bright as you’d expect for Big 4 professionals"
Good learning but not for a working mom,"Sep 9, 2021 ",4.0,Current, Audit Senior Manager,,Recommend,Business Outlook,Share,access to technical accounting training and guidance team comradery,work life balance is difficult to defend
Struggles with boundaries,"Sep 29, 2021 ",3.0,Former, Director,,Recommend,Business Outlook,Share,The people at the firm.,The lack of work life balance.
Amazing,"Sep 12, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,"Great culture, work life balance, and people",Lots of video cal time
great co!,"Sep 10, 2021 ",5.0,Current, Administrative Assistant,,Recommend,Business Outlook,Share,"work/life balance, room for growth",Nothing at all that I would say as a con.
PwC Culture,"Sep 10, 2021 ",4.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,- Good / fun culture - Wonderful resources and support,- You may feel micromanaged at times
N/A,"Sep 10, 2021 ",5.0,Current, Experienced Associate,,Recommend,Business Outlook,Share,"great experience, great people, opportunities","Long hours, burn out, etc"
Grateful,"Jul 25, 2021 ",5.0,Current, Business Recruiter,,Recommend,Business Outlook,Share,"PwC truly cares about their employees. The compensation is fair and the benefits are incredible - plenty of vacation, unlimited sick time, excellent maternity/paternity leave, well being rewards, monetary peer recognition program and the list goes on. Most importantly, the people at PwC are amazing. Even in a virtual world when I see my colleagues rarely, I still consider many of them among my closest friends. I also find that there is a high level of trust between managers and those who report to them.","Even on the business services side, hours can be long. Even when on vacation, people often expect a response."
Great place,"Sep 11, 2021 ",5.0,Current, Tax Accountant,,Recommend,Business Outlook,Share,High pay. Flexibility. Diversity. Learning experience.,Long hours. Long hours. Long hours.
.,"Sep 11, 2021 ",5.0,Current, Director,,Recommend,Business Outlook,Share,Great place to start your career,The hours can be very long.
Great experience,"Aug 6, 2021 ",5.0,Former, Specialist IV,,Recommend,Business Outlook,Share,"Amazing environment to work at, constant training in all kind of subjects, you get to work with huge companies and learn about their fields.","Lots of engagements at the same time , you have to be juggling all day every day to keep up with your meetings, trainings, and actually get the job done. We handle the financial information of the best companies in the world so you would expect to be paid accordingly but not the case."
Great place to work,"Sep 10, 2021 ",5.0,Former, Senior Associate,,Recommend,Business Outlook,Share,"Top talent, flexibility, good benefits",Travel requirement very challenging with a family
"Good, not great","Sep 8, 2021 ",4.0,Current, Design Manager,,Recommend,Business Outlook,Share,"Great salary, great benefits, work from home","Disorganization, lots of politics, no roadmap or reason for decisions, poor management"
Toxic Culture with Bad Pay,"Aug 20, 2021 ",1.0,Former, Experienced Associate,,Recommend,Business Outlook,Share,"Exposure to many businesses, learn a lot in a short time","The workload compared to the pay is not worth it, teams throw people under the bus constantly rather than take the fall, was never allowed to take time off for deaths in the family (was told the work needs to get done), pay was frozen during the pandemic while at the same time the firm had its most profitable year to date, mental health is never a factor in management's mind even though they will constantly claim they care, more and more work is being sent offshore to compensate for people quitting rather than investing in their people to keep them around."
PwC,"Sep 9, 2021 ",4.0,Current, Senior Associate,,Recommend,Business Outlook,Share,Great opportunity to see a variety of different transactions and clients,Busy season and lack of interesting work
Lot of work,"Sep 28, 2021 ",3.0,Current, Tax Associate,,Recommend,Business Outlook,Share,Plenty of exit ops after getting experience,A lot of over time work
Doesn't respect admin staff,"Jul 21, 2021 ",2.0,Current, Executive Assistant,,Recommend,Business Outlook,Share,"Can work from home, business casual dress, HSA, paid sick/vacation days.",Does not give cost of living raises even with top rating during annual review. When I started with the company over a decade ago it was known you could never get a top rating because that was reserved for leadership's admins and there was only room in the budget for so many ppl to get a top rating raise. So most top rate people got a 2 instead of 1 in rating. I only got a 1 rating when I moved to a specialist role working for the same eng teams. They have been doing rounds of layoffs of admin staff every few years - they're looking to do business without admin staff whenever possible. I wouldn't recommend getting a job here unless its your only option
Great company to work for,"Sep 7, 2021 ",5.0,Current, Tax Manager,,Recommend,Business Outlook,Share,"Client base, project management, prestige","Long hours, overwhelming environment during busy seasons"
Great culture overall,"Sep 9, 2021 ",4.0,Current, Associate,,Recommend,Business Outlook,Share,"Great benefits, take care of its people",Not as high salary as other consulting firms
Great place to work,"Sep 28, 2021 ",3.0,Current, CDS Associate,,Recommend,Business Outlook,Share,Great place to work Good team Good benefit,They really lowball your salary
"Great resources, low salary","Sep 21, 2021 ",3.0,Former, Senior Manager,,Recommend,Business Outlook,Share,Definitely a place that provides a halo effect on a resume. Great resources and access to development. Inspirational leader in Tim Ryan,"Low salary in IFS compared to market, especially given high demand of the job (very long hours)"
Good Entry Level job,"Sep 1, 2021 ",5.0,Former, Associate,,Recommend,Business Outlook,Share,"Network, organized structure, diversity of projects, great support, resources","Work life balance was definitely a struggle. Partners would tend to oversell, not structure projects correctly, overpromise, etc"
"Great experience, poor work life balance","Aug 30, 2021 ",3.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,Amazing experience working on clients that truly give you the ability to parse through info efficiently and effectively. Huge investments in upskilling employees and preparing them for different business issues and streamlining business processes.,"Poor pay for the amount of work performed, expectations set on employees. Lack of truly proper on the job training due to tight deadlines and understaffed teams. Awful work-life balance. Everything you’ve ever been told to expect from Big 4 public accounting (particularly audit)"
Good Overall Experience,"Sep 7, 2021 ",4.0,Former, Senior Associate,,Recommend,Business Outlook,Share,1. It is big 4 2. Exposure to all types of clients,1. Culture can be very Political
Just mandated vaccines,"Sep 30, 2021 ",1.0,Current, Accountant,,Recommend,Business Outlook,Share,Don’t work here churn and burn partners can care less about you,Don’t work here-bad place no one cares about you supper woke
